Floor Level,Layer,Materials,Mass,Volume,Green Book EC,EPiC EC,ICE EC
GROUND LEVEL,Column,Concrete,352931.45052833814,162.15177713736793,104263.59269932758,97291.06628242075,67048.83558117195
GROUND LEVEL,Column,Reinforcement Bar,52188.549471661856,6.648222862632082,151346.79346781937,151346.79346781937,103855.21344860709
GROUND LEVEL,Slab,Concrete,899249.9820537023,386.0849950641659,248252.6518262587,231650.99703849957,159643.94477456075
GROUND LEVEL,Slab,Reinforcement Bar,39399.97374629765,5.019104935834093,114259.92386426318,114259.92386426318,78405.94775513232
GROUND LEVEL,Stairs,Concrete,10714.69438414873,4.699119373776909,3021.5337573385523,2819.471624266145,1943.0590760763212
GROUND LEVEL,Stairs,Reinforcement Bar,811.5379158512696,0.10338062622309163,2353.4599559686817,2353.4599559686817,1614.9604525440266
GROUND LEVEL,Stairs,Concrete,10714.69438414873,4.699119373776909,3021.5337573385523,2819.471624266145,1943.0590760763212
GROUND LEVEL,Stairs,Reinforcement Bar,811.5379158512696,0.10338062622309163,2353.4599559686817,2353.4599559686817,1614.9604525440266
GROUND LEVEL,Stairs,Concrete,55414.26556164383,24.303424657534247,15627.10205479452,14582.054794520549,10049.327566369864
GROUND LEVEL,Stairs,Reinforcement Bar,4197.201438356169,0.5346753424657535,12171.88417123289,12171.88417123289,8352.430862328776
GROUND LEVEL,Wall,Concrete,238929.43359921724,104.78884540117417,67379.227592955,62873.307240704504,43329.59027696674
GROUND LEVEL,Wall,Reinforcement Bar,18097.033600782772,2.3053545988258293,52481.397442270034,52481.397442270034,36013.096865557716
GROUND LEVEL,Wall,Concrete,252030.90533052833,110.53502935420744,71074.02387475538,66321.01761252446,45705.60458829746
GROUND LEVEL,Wall,Reinforcement Bar,19089.399569471658,2.431770645792568,55359.25875146781,55359.25875146781,37987.9051432486
LEVEL 01,Beam,Concrete,194546.5292203178,88.82696196437169,57115.736543091,53296.17717862302,36729.4424585845
LEVEL 01,Beam,Reinforcement Bar,26845.72857968218,3.4198380356283025,77852.61288107833,77852.61288107833,53422.99987356754
LEVEL 01,Beam,TIMBER - STRUCTURAL,150921.1028,222.9276,160062.0168,382989.6168,76969.762428
LEVEL 01,Column,Concrete,296487.5083573486,136.21902017291066,87588.82997118155,81731.41210374639,56325.788393083574
LEVEL 01,Column,Reinforcement Bar,43842.09164265136,5.584979827089342,127142.06576368894,127142.06576368894,87245.7623688762
LEVEL 01,Slab,Concrete,451779.8473102666,193.96771964461993,124721.24373149061,116380.63178677196,80204.54645704837
LEVEL 01,Slab,Reinforcement Bar,19794.4057897334,2.5215803553800527,57403.77679022685,57403.77679022685,39390.86752156946
LEVEL 01,Slab,TIMBER - STRUCTURAL,56283.7523,83.137,59692.366,142829.366,28704.713673000002
LEVEL 01,Stairs,Concrete,11043.39203326811,17.12407045009785,11010.777299412917,10274.44227005871,7080.705523913895
LEVEL 01,Stairs,Reinforcement Bar,2957.326966731889,0.37672954990215146,8576.248203522478,8576.248203522478,5885.08066379646
LEVEL 01,Stairs,Concrete,13014.9095479452,5.708219178082191,3670.384931506849,3424.9315068493147,2360.3160932876713
LEVEL 01,Stairs,Reinforcement Bar,985.8094520547984,0.12558082191780873,2858.847410958915,2858.847410958915,1961.7608095890487
LEVEL 01,Wall,Concrete,194015.9794379648,85.09099804305283,54713.511741682974,51054.5988258317,35184.6426721135
LEVEL 01,Wall,Reinforcement Bar,14695.215362035204,1.8720019569471589,42616.12454990209,42616.12454990209,29243.478570450054
LEVEL 02,Beam,Concrete,879581.0165337507,401.60308136735676,258230.7813192104,240961.84882041404,166060.58500783824
LEVEL 02,Beam,Reinforcement Bar,121374.49126624933,15.461718632643226,351986.024672123,351986.024672123,241535.23761983617
LEVEL 02,Beam,TIMBER - STRUCTURAL,60577.4084,89.4796,64246.3528,153725.9528,30894.478284
LEVEL 02,Unknown,TIMBER - STRUCTURAL,85350.744,126.072,90519.696,216591.696,43528.879440000004
LEVEL 02,Column,Concrete,25591.71181556196,11.75792507204611,7560.345821325648,7054.755043227666,4861.834997118156
LEVEL 02,Column,Reinforcement Bar,3784.288184438039,0.4820749279538905,10974.435734870312,10974.435734870312,7530.733487031697
LEVEL 02,Slab,Concrete,952331.9925093786,408.8753208292202,262906.83129318856,245325.19249753212,169067.61457355382
LEVEL 02,Slab,Reinforcement Bar,41725.726490621455,5.315379170779806,121004.60682280222,121004.60682280222,83034.19571633669
LEVEL 02,Slab,TIMBER - STRUCTURAL,5427.3334,8.0168,5756.0624,13772.8624,2767.940034
LEVEL 02,Stairs,Concrete,11043.39203326811,17.12407045009785,11010.777299412917,10274.44227005871,7080.705523913895
LEVEL 02,Stairs,Reinforcement Bar,2957.326966731889,0.37672954990215146,8576.248203522478,8576.248203522478,5885.08066379646
LEVEL 02,Stairs,Concrete,13014.9095479452,5.708219178082191,3670.384931506849,3424.9315068493147,2360.3160932876713
LEVEL 02,Stairs,Reinforcement Bar,985.8094520547984,0.12558082191780873,2858.847410958915,2858.847410958915,1961.7608095890487
LEVEL 02,Wall,Concrete,194015.9794379648,85.09099804305283,54713.511741682974,51054.5988258317,35184.6426721135
LEVEL 02,Wall,Reinforcement Bar,14695.215362035204,1.8720019569471589,42616.12454990209,42616.12454990209,29243.478570450054
LEVEL 03,Beam,Concrete,9452.44520943669,4.315840154068368,2775.0852190659607,2589.504092441021,1784.5753034183922
LEVEL 03,Beam,Reinforcement Bar,1304.3547905633095,0.1661598459316318,3782.6288926335974,3782.6288926335974,2595.666033220986
LEVEL 03,Beam,TIMBER - STRUCTURAL,320540.7208,473.4718,339952.7524,813424.5523999999,163475.767608
LEVEL 03,Unknown,TIMBER - STRUCTURAL,71965.6416,106.3008,76323.97439999999,182624.7744,36702.477216
LEVEL 03,Column,Concrete,21610.77886647455,9.928914505283382,6384.292026897215,5957.348703170029,4105.5495531219985
LEVEL 03,Column,Reinforcement Bar,3195.621133525452,0.40708549471661826,9267.30128722381,9267.30128722381,6359.286055715649
LEVEL 03,Slab,Concrete,81687.17614876606,35.07166831194472,22551.082724580454,21043.000987166834,14501.934938479764
LEVEL 03,Slab,Reinforcement Bar,3579.0637512339454,0.45593168805527995,10379.28487857844,10379.28487857844,7122.336864955551
LEVEL 03,Slab,TIMBER - STRUCTURAL,160536.4142,237.1292,170258.76559999998,407387.9656,81873.571242
LEVEL 03,Stairs,Concrete,7216.942637964775,11.190998043052838,7195.811741682975,6714.598825831703,4627.413902113503
LEVEL 03,Stairs,Reinforcement Bar,1932.6853620352258,0.24620195694716251,5604.787549902155,5604.787549902155,3846.0438704500993
LEVEL 03,Stairs,Concrete,8505.433342465754,3.73013698630137,2398.4780821917807,2238.082191780822,1542.3903820547946
LEVEL 03,Stairs,Reinforcement Bar,644.1946575342463,0.08206301369863,1868.1645068493142,1868.1645068493142,1281.9473684931502
LEVEL 03,Wall,Concrete,161547.98112289625,70.85127201565557,45557.36790606653,42510.76320939334,29296.59712622309
LEVEL 03,Wall,Reinforcement Bar,12236.014677103754,1.5587279843444293,35484.44256360089,35484.44256360089,24349.669207436473
LEVEL 04,Beam,Concrete,9452.44520943669,4.315840154068368,2775.0852190659607,2589.504092441021,1784.5753034183922
LEVEL 04,Beam,Reinforcement Bar,1304.3547905633095,0.1661598459316318,3782.6288926335974,3782.6288926335974,2595.666033220986
LEVEL 04,Beam,TIMBER - STRUCTURAL,291814.8438,431.0404,309487.0072,740527.4072,148825.570338
LEVEL 04,Unknown,TIMBER - STRUCTURAL,70113.3696,103.5648,74359.5264,177924.32640000002,35757.818496
LEVEL 04,Column,Concrete,21610.77886647455,9.928914505283382,6384.292026897215,5957.348703170029,4105.5495531219985
LEVEL 04,Column,Reinforcement Bar,3195.621133525452,0.40708549471661826,9267.30128722381,9267.30128722381,6359.286055715649
LEVEL 04,Slab,Concrete,81687.17614876606,35.07166831194472,22551.082724580454,21043.000987166834,14501.934938479764
LEVEL 04,Slab,Reinforcement Bar,3579.0637512339454,0.45593168805527995,10379.28487857844,10379.28487857844,7122.336864955551
LEVEL 04,Slab,TIMBER - STRUCTURAL,153322.3014,226.4732,162607.75759999998,389080.95759999997,78194.373714
LEVEL 04,Stairs,Concrete,7216.942637964775,11.190998043052838,7195.811741682975,6714.598825831703,4627.413902113503
LEVEL 04,Stairs,Reinforcement Bar,1932.6853620352258,0.24620195694716251,5604.787549902155,5604.787549902155,3846.0438704500993
LEVEL 04,Stairs,Concrete,8505.433342465754,3.73013698630137,2398.4780821917807,2238.082191780822,1542.3903820547946
LEVEL 04,Stairs,Reinforcement Bar,644.1946575342463,0.08206301369863,1868.1645068493142,1868.1645068493142,1281.9473684931502
